"sample_id","mag_id","site","time","rel_abund","domain","phylum","class","order","family","genus","species","phylum2"
"L004","L003_bin.31","Anoxic","Summer",0.473641434534745,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Lentimicrobiaceae","Lentimicrobium","Lentimicrobium sp002410555","Bacteroidota"
"L004","L003_bin.7","Anoxic","Summer",0.0241269061075248,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Fermentimonas","Fermentimonas sp002398875","Bacteroidota"
"L004","L004_bin.13","Anoxic","Summer",1.35758064874071,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ginsengibacter","","Bacteroidota"
"L004","L004_bin.14","Anoxic","Summer",14.046096098211,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Thiobacillaceae","Thiobacillus","Thiobacillus sp001899775","Proteobacteria"
"L004","L004_bin.16","Anoxic","Summer",6.20435880522414,"Bacteria","Bacteroidota","Bacteroidia","AKYH767-A","OLB10","OLB10","OLB10 sp001567275","Bacteroidota"
"L004","L004_bin.4","Anoxic","Summer",1.3784137169355,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","UBA7239","UBA7239","","Proteobacteria"
"L004","L005_bin.1","Anoxic","Summer",0.749480740401634,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Agriterribacter","","Bacteroidota"
"L004","L005_bin.3","Anoxic","Summer",1.33297452310542,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","JAEUUM01","","Bacteroidota"
"L004","L005_bin.7","Anoxic","Summer",3.751750994434,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","TH1-2","Terricaulis","","Proteobacteria"
"L004","L036_bin.1","Anoxic","Summer",0.684452542333328,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus","","Desulfobacterota"
"L004","L036_bin.22","Anoxic","Summer",0.0646301059978774,"Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Solidesulfovibrio","Solidesulfovibrio alcoholivorans","Desulfobacterota"
"L004","L036_bin.25","Anoxic","Summer",0.0837155064267807,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides","Macellibacteroides fermentans","Bacteroidota"
"L004","L038_bin.2","Anoxic","Summer",0.145380075263291,"Bacteria","Firmicutes_A","Clostridia","Tissierellales","Peptoniphilaceae","JAAYQA01","","Firmicutes"
"L004","L038_bin.25","Anoxic","Summer",0.19904697538708,"Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","JAAZGD01","","Firmicutes"
"L004","L039_bin.10","Anoxic","Summer",6.83421696428803,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","UBA5518","UBA5518","","Proteobacteria"
"L004","L039_bin.13","Anoxic","Summer",0.0586993433298368,"Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Terrimesophilobacter","","Actinobacteriota"
"L004","L039_bin.7","Anoxic","Summer",0.134413905792999,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira_A","Nitrospira_A sp001567445","Nitrospirota"
"L004","L040_bin.10","Anoxic","Summer",0.176023914657023,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","LD1","UBA7692","UBA7692 sp001897535","Bacteroidota"
"L004","L040_bin.20","Anoxic","Summer",0.600334193146061,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella_A","Dokdonella_A sp014338185","Proteobacteria"
"L004","L040_bin.21","Anoxic","Summer",0.09171772395287,"Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","","","Myxococcota"
"L004","L040_bin.9","Anoxic","Summer",0.38565059912058,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Thiobacillaceae","PFJX01","","Proteobacteria"
"L004","L078_bin.10","Anoxic","Summer",0.034842487311705,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","VadinHA17","LD21","LD21 sp012729475","Bacteroidota"
"L004","L078_bin.37","Anoxic","Summer",0.940799439957105,"Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei","Halobacteriota"
"L004","L081_bin.36","Anoxic","Summer",0.152574696042779,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","","Bacteroidota"
